Area (sqft),Bedrooms,Bathrooms,Location Score,Age of House (years),Nearby Amenities Score,Price
3606,3,3,7.053419064026136,16,6.1459511684349,548618.6934790036
1337,3,3,4.993751973741141,22,5.657017165795372,244298.6527112039
2690,1,3,8.813280289397548,23,4.873846692888912,456578.94214694365
2641,5,3,2.594348105026473,44,3.8525192901200738,399179.86458979355
1720,4,1,7.23363357003548,18,4.911363647728406,332996.21243292256
3255,2,2,8.543037606832993,4,7.964916901571407,551610.5772308032
1324,1,3,9.501527975266209,31,6.417310879136184,332893.83678307896
3675,1,1,7.1492322546068126,43,9.032709609593615,560185.4682269018
2329,2,3,5.474572876075846,0,4.99042012941269,382450.01411455526
3750,4,2,6.560625161810925,22,6.463806208468786,590396.5140040527
835,1,1,8.820144860308464,36,6.681767977827898,262085.0463446251
1484,1,2,6.1354877197494675,7,6.32527446075693,312524.606250691
819,5,2,1.2734835372715319,12,7.323703957769647,150946.8151745828
3168,4,1,9.3785382595628,7,3.1369012153732565,535973.83572872
3359,1,1,7.20574075928405,22,5.611273997912116,531463.7306706544
1199,4,1,7.088620471995219,42,1.938023225275129,280593.81838485814
3501,2,1,2.9410763715794546,0,4.460601948803313,494934.2248482446
1771,3,1,6.929969232093915,44,5.38900361759138,297990.9919243279
2706,1,1,4.544779650887426,23,6.870018335909252,439797.56002034363
3318,5,1,6.861096793373429,34,9.55477947327583,473455.76947850594
1966,2,3,1.9593372727719165,23,6.405859598935203,296201.89404819533
1915,4,2,6.920607741427324,16,7.692345245589038,337220.6850562909
1633,2,1,9.994723531936,4,5.556394535456825,333013.1337044303
2623,1,3,1.4339083497450043,19,6.706936282386982,370638.85850192857
3574,4,3,9.794567657991855,20,1.638389945203961,600040.7328927572
2782,3,3,4.662171646505835,39,3.289524227576623,444367.11118655076
1653,2,2,8.836781053035333,30,4.256677838846248,332318.2136487726
850,1,1,8.04146935652446,45,5.252440195058622,254085.82329501354
1374,5,3,6.10314634888001,35,1.4108387095214536,250241.7784497548
1948,4,2,7.646042883261939,10,2.2602168779798593,337985.086434646
2997,2,2,8.906640051712131,14,3.491328770121752,518655.32685723575
3161,2,2,4.637262894859297,18,9.743794218109455,498541.1848622101
3417,3,3,3.943298454069148,6,3.9821230639274567,495400.9011049162
3152,3,1,7.0083404700722625,27,5.338369523008743,478441.7411112731
2515,5,3,8.270613477471327,42,2.764879414645536,459908.09139744035
1481,5,3,7.860566212989542,4,6.497020639681915,281329.14207046194
1637,1,1,8.18032283972771,4,3.5261489396437686,320883.9330998715
1877,1,1,4.920249833316397,29,2.8629332059458408,327628.4286924407
3850,5,1,8.360507945575193,31,5.649153656013811,634242.1061084016
3291,5,2,2.081881498335476,7,1.0495521924437874,473965.1475134849
3460,4,1,5.900401881647646,9,1.0689762938430278,533883.576317507
3840,3,3,1.0518279444830942,37,2.9716192819167198,507348.0343647435
3111,1,1,3.9212724691024325,46,1.3304922625073903,466818.0675902774
3924,3,3,4.298153813842581,31,1.9722317871762223,563086.0722367719
2395,3,2,4.565554224483298,47,4.049745844048765,348250.8702025549
3851,5,3,7.25920486020876,27,8.223271116218315,607965.6523462773
804,4,3,4.4970229114331115,16,6.148437790323707,217290.75359675373
1926,2,1,5.038242603602776,30,5.614009533607748,350160.74131286266
2019,4,1,3.1378971778689473,7,3.6413994088730948,328657.62940531515
1573,4,3,4.35926612466406,39,9.385783474895348,269917.7987959907
1676,3,1,3.045426645368363,24,4.573135371134725,237670.2948846884
1791,4,2,1.6587633139159927,8,1.7838349011619434,286064.4575989319
3731,1,2,6.431037340432401,1,6.5535986450602115,593489.6125667314
846,3,1,7.013915186995146,14,2.0245455412894127,242026.6195635472
3714,1,2,6.575413114086531,49,4.107008285215229,574306.100436565
3670,2,1,5.171446394205152,2,5.56670744846028,548750.3055437541
3783,3,3,4.418072021613068,48,8.868002722166583,573952.0077800105
3503,2,3,8.770002846146427,35,5.441919223061068,578016.1437731739
1068,3,2,5.671736066225963,3,7.3203288942849785,237095.18278925592
1169,5,1,5.312636898667579,13,9.935351550991633,269561.3566454802
1435,4,1,1.2307785922579213,40,2.1834020790818345,219333.70613301612
1929,5,2,4.071230448635407,40,3.4725837296756756,330591.664713206
2493,2,3,4.421760569072713,24,4.551184680378817,369732.049825274
2482,4,2,4.589405028072104,49,4.796453606849482,367024.49451753683
1456,3,3,6.221551323045991,9,4.699189677389912,313708.43868542294
919,4,1,5.802422920541906,20,9.168499023008994,247078.18018402785
1630,1,3,6.471145835141002,35,7.426293800201708,327383.1298632292
2610,4,2,7.883949353879155,11,6.471146926816334,451645.59035007266
1881,1,1,8.316871648444842,26,3.784354460765039,311659.759555113
2774,4,2,7.46310768603845,39,8.414113457991652,461174.7282832422
2169,1,2,9.599713263594412,1,9.5955446033649,429744.1128847882
1540,2,3,1.1640932440872547,12,8.390784542952039,246242.44430410877
916,5,2,2.7620018711519148,31,1.0140859467232561,169001.26377543926
2653,3,3,1.068065874803279,30,6.727612331650663,412380.4850085826
3638,4,1,6.827272427391427,15,1.4602184329789065,553087.2720955503
1950,5,3,9.082274940549881,31,3.318464983003497,383156.3502728517
2731,3,1,3.1913406691866935,31,1.5357223031299452,421439.6193789491
1812,3,3,9.34331090316676,33,6.43415907654449,344255.60611638275
2464,1,2,1.5424065126060476,10,7.179309221433461,373927.17741249455
1881,2,3,9.409924241249628,9,2.030388742593146,397767.715415932
1433,2,3,4.16460418515671,14,4.454549947404815,304182.3304386687
1312,5,1,1.9127874560429485,16,5.106128580599878,232145.79537562313
3649,2,2,5.372845832676931,39,4.321477195848249,535771.8031736001
1919,4,3,3.3109891094845714,17,2.0892250043667375,318914.2099641465
